Team,ioc-code,gold,silver,bronze,total,latitude,longitude
United States of America,USA,1022,795,706,2523,37.09024,-95.712891
Russia,RUS,395,319,296,1010,61.52401,105.318756
United Kingdom,GBR,263,295,293,851,55.378051,-3.435973
France,FRA,212,241,263,716,46.227638,2.213749
Germany,DEU,191,194,230,615,51.165691,10.451526
Italy,ITA,206,178,193,577,41.87194,12.56738
China,CHN,224,167,155,546,35.86166,104.195397
Australia,AUS,147,163,187,497,-25.274398,133.775136
Sweden,SWE,145,170,179,494,60.128161,18.643501
Hungary,HUN,175,147,169,491,47.162494,19.503304
Japan,JPN,142,136,161,439,36.204824,138.252924
Romania,ROU,89,94,121,304,45.943161,24.96676
Finland,FIN,101,85,117,303,61.92411,25.748151
Canada,CAN,64,102,136,302,56.130366,-106.346771
Netherlands,NLD,85,92,108,285,52.132633,5.291266
Poland,POL,68,84,132,284,51.919438,19.145136
South Korea,KOR,90,87,90,267,35.907757,127.766922
Cuba,CUB,78,68,80,226,21.521757,-77.781167
Bulgaria,BGR,51,87,80,218,42.733883,25.48583
Denmark,DNK,45,74,75,194,56.26392,9.501785
Switzerland,CHE,50,75,67,192,46.818188,8.227512
Norway,NOR,56,49,47,152,60.472024,8.468946
Spain,ESP,45,64,41,150,40.463667,-3.74922
Belgium,BEL,40,53,55,148,50.503887,4.469936
Czech Republic,CZE,49,49,45,143,49.817492,15.472962
Brazil,BRA,30,36,63,129,-14.235004,-51.92528
Ukraine,UKR,34,30,56,120,48.379433,31.16558
New Zealand,NZL,46,27,44,117,-40.900557,174.885971
Greece,GRC,33,43,40,116,39.074208,21.824312
Kenya,KEN,31,38,34,103,-0.023559,37.906193
Turkey,TUR,39,24,28,91,38.963745,35.243322
Republic of Serbia,SRB,28,31,31,90,44.016521,21.005859
Austria,AUT,18,33,36,87,47.516231,14.550072
South Africa,ZAF,26,31,29,86,-30.559482,22.937506
Belarus,BLR,12,27,39,78,53.709807,27.953389
Jamaica,JAM,22,35,21,78,18.109581,-77.297508
Argentina,ARG,21,25,28,74,-38.416097,-63.616672
Iran,IRN,21,21,27,69,32.427908,53.688046
Mexico,MEX,13,24,32,69,23.634501,-102.552784
Kazakhstan,KAZ,15,21,28,64,48.019573,66.923684
Czech Republic,CZE,15,17,24,56,49.817492,15.472962
Ethiopia,ETH,22,11,21,54,9.145,40.489673
North Korea,PRK,16,16,22,54,40.339852,127.510093
Azerbaijan,AZE,7,11,24,42,40.143105,47.576927
Estonia,EST,9,9,16,34,58.595272,25.013607
Croatia,HRV,11,10,12,33,45.1,15.2
Thailand,THA,9,8,16,33,15.870032,100.992541
Egypt,EGY,7,10,15,32,26.820553,30.802498
Georgia,GEO,8,7,17,32,42.315407,43.356892
Indonesia,IDN,7,13,12,32,-0.789275,113.921327
Ireland,IRL,9,10,12,31,53.41291,-8.24389
Uzbekistan,UZB,7,6,18,31,41.377491,64.585262
Colombia,COL,5,9,14,28,4.570868,-74.297333
India,IND,9,7,12,28,20.593684,78.96288
Slovakia,SVK,9,12,7,28,48.669026,19.699024
Mongolia,MNG,2,10,14,26,46.862496,103.846656
Lithuania,LTU,6,6,13,25,55.169438,23.881275
Nigeria,NGA,3,10,12,25,9.081999,8.675277
Portugal,PRT,4,8,12,24,39.399872,-8.224454
Morocco,MAR,6,5,12,23,31.791702,-7.09262
Slovenia,SVN,5,8,10,23,46.151241,14.995463
Latvia,LVA,3,11,5,19,56.879635,24.603189
Trinidad and Tobago,TTO,3,5,11,19,10.691803,-61.222503
Algeria,DZA,5,4,8,17,28.033886,1.659626
Venezuela,VEN,2,4,9,15,6.42375,-66.58973
Armenia,ARM,2,6,6,14,40.069099,45.038189
The Bahamas,BHS,6,2,6,14,25.03428,-77.39628
Chile,CHL,2,7,4,13,-35.675147,-71.542969
